latitude,longitude,blk_no,road_name,postal_code,address,nearest_mrt_station,nearest_mrt_distance_km,nearest_mall,nearest_mall_distance_km
1.30465698901237,103.799309643019,87,COMMONWEALTH CLOSE,140087,87 C'WEALTH CL,Commonwealth,0.2697830025608095,Rochester Mall,1.210474392881018
1.30703602610859,103.784633269754,21,DOVER CRESCENT,130021,21 DOVER CRES,Buona Vista,0.6026414903686368,The Star Vista,0.4264148378487274
1.30783587059427,103.783635854778,19,DOVER CRESCENT,130019,19 DOVER CRES,Dover,0.6871619584825335,The Star Vista,0.5484602347793167
1.30767442232996,103.796271571462,5,HOLLAND CLOSE,272005,5 HOLLAND CL,Holland Village,0.39117107863349115,The Star Vista,0.8733214927405646
1.29238272764571,103.800196306719,19,QUEEN'S CLOSE,140019,19 QUEEN'S CL,Queenstown,0.6918250624775276,Queensway Shopping Centre,0.6378473644772271
1.29305554716505,103.814424413285,129,CLARENCE LANE,140129,129 CLARENCE LANE,Redhill,0.45865504294514553,Anchorpoint,1.0819346306255238
1.29454525879508,103.808751073606,82,STRATHMORE AVENUE,141082,82 STRATHMORE AVE,Queenstown,0.3187358245678957,Anchorpoint,0.715051272364637
1.44984328065002,103.824378409707,589D,MONTREAL DRIVE,754589,589D MONTREAL DR,Sembawang,0.4864854705954852,Sun Plaza,0.5686364426673615
1.44501283137401,103.823072479872,302,CANBERRA ROAD,750302,302 CANBERRA RD,Sembawang,0.5674759516445652,Sembawang Shopping Centre,0.40212530147136083
1.3921787440658,103.876627568951,436D,FERNVALE ROAD,794436,436D FERNVALE RD,Fernvale,0.0443698871643608,The Seletar Mall,0.09655520209160183
1.38842869026139,103.87432292478,406B,FERNVALE ROAD,792406,406B FERNVALE RD,Fernvale,0.4547536579611417,The Seletar Mall,0.39310028051886065
1.38145602861701,103.896164686932,264C,COMPASSVALE BOW,543264,264C COMPASSVALE BOW,Ranggung,0.32544581467774897,Rivervale Plaza,0.788495980998799
1.39429790657459,103.90584757628,187B,RIVERVALE DRIVE,542187,187B RIVERVALE DR,Rumbia,0.30541972133041756,Rivervale Mall,0.27915751011947837
1.39170406550677,103.886137355811,309A,ANCHORVALE ROAD,541309,309A ANCHORVALE RD,Tongkang,0.2453741894274439,Buangkok Square,0.9609246557493666
1.38761971149994,103.902158654021,124,RIVERVALE DRIVE,540124,124 RIVERVALE DR,Bakau,0.36465653143706284,Rivervale Plaza,0.2359931785193472
1.39254395356624,103.899041774365,246,COMPASSVALE ROAD,540246,246 COMPASSVALE RD,Compassvale,0.2780207909236836,Compass One,0.444811084142237
1.39399621447321,103.900183233662,253,COMPASSVALE STREET,540253,253 COMPASSVALE ST,Compassvale,0.07461951152837244,Rivervale Mall,0.516949851361562
1.39125198410932,103.884325036239,311B,ANCHORVALE LANE,542311,311B ANCHORVALE LANE,Tongkang,0.25511444027983576,Buangkok Square,0.8257760796319088
1.38786467702645,103.904672885312,134,RIVERVALE STREET,540134,134 RIVERVALE ST,Bakau,0.08444287661912392,Rivervale Plaza,0.39741761321021624
1.39426775060559,103.899751739048,254,COMPASSVALE ROAD,540254,254 COMPASSVALE RD,Compassvale,0.08599767513153937,Rivervale Mall,0.5729366797481029
1.39582487078481,103.898497580022,291B,COMPASSVALE STREET,542291,291B COMPASSVALE ST,Compassvale,0.2546874202998746,Compass One,0.566587724494241
1.38246038039285,103.902238681998,116A,RIVERVALE DRIVE,541116,116A RIVERVALE DR,Kangkar,0.1666461971541479,Rivervale Plaza,0.33959952015891204
1.3889306090651,103.873208570293,403A,FERNVALE LANE,791403,403A FERNVALE LANE,Fernvale,0.483489412584135,The Seletar Mall,0.4299780035900246
1.3933884601797,103.898081358537,259C,COMPASSVALE ROAD,543259,259C COMPASSVALE RD,Compassvale,0.29583805707594235,Compass One,0.3661459304441613
1.38713574190991,103.894448611174,204B,COMPASSVALE DRIVE,542204,204B COMPASSVALE DR,Renjong,0.43573375426536637,Compass One,0.5511432613556078
1.38291146712108,103.901208583313,103,RIVERVALE WALK,540103,103 RIVERVALE WALK,Kangkar,0.15716706014885706,Rivervale Plaza,0.3010509370445318
